"","Object.Designation..","Period Start","Period End","Potential.Impacts..","Impact.Probability..cumulative.","Vinfinity..km.s.","H..mag.","Estimated.Diameter..km.","Palermo.Scale..cum..","Palermo.Scale..max..","Torino.Scale..max..","X","Period"
"1","101955 Bennu (1999 RQ36)",2178,2290,157,0.00057,5.99,20.6,0.49,-1.41,-1.59,NA,"a0101955",112
"2","29075 (1950 DA)",2880,2880,1,2.9e-05,14.1,17.9,1.3,-2.05,-2.05,NA,"a0029075",0
"3","(2007 FT3)",2024,2119,89,8.6e-07,17.07,20,0.341,-2.63,-2.79,0,"bK07F03T",95
"4","(1979 XB)",2056,2113,4,8.5e-07,23.76,18.5,0.66,-2.71,-3.01,0,"bJ79X00B",57
"5","(2000 SG344)",2069,2122,300,0.0027,1.36,24.8,0.037,-2.78,-3.13,0,"bK00SY4G",53
"6","(2008 JL3)",2027,2122,44,0.00017,8.42,25.3,0.029,-2.98,-2.99,0,"bK08J03L",95
"7","(2010 RF12)",2095,2122,70,0.1,5.1,28.4,0.007,-2.98,-2.98,0,"bK10R12F",27
"8","(2022 PX1)",2040,2040,1,3.2e-06,35.11,22.3,0.12,-3.15,-3.15,0,"bK22P01X",0
"9","(2005 QK76)",2030,2059,6,7.1e-05,19.67,25.2,0.031,-3.25,-3.36,0,"bK05Q76K",29
"10","(2022 YO1)",2024,2044,5,0.0023,14.42,30,0.003,-3.26,-3.26,0,"bK22Y01O",20
"11","(2024 BY15)",2071,2124,331,0.0094,NA,26.7,0.015,-3.3,-3.89,0,"bK24B15Y",53
"12","(2021 GX9)",2032,2052,2,8.2e-05,16.79,25.3,0.029,-3.36,-3.36,0,"bK21G09X",20
"13","(2015 JJ)",2111,2111,1,2.1e-05,10.7,22.1,0.13,-3.56,-3.56,0,"bK15J00J",0
"14","(2023 DO)",2057,2092,25,0.00045,6.97,25.6,0.026,-3.58,-3.6,0,"bK23D00O",35
"15","(2008 UB7)",2044,2101,50,3.4e-05,18.53,23.8,0.058,-3.63,-4.26,0,"bK08U07B",57
"16","(2019 VB37)",2049,2067,5,5.7e-05,14.55,24.5,0.043,-3.64,-3.65,0,"bK19V37B",18
"17","(2024 FL1)",2052,2080,9,6.3e-05,11.24,24.3,0.047,-3.66,-3.66,0,"bK24F01L",28
"18","(2007 DX40)",2035,2122,93,7.8e-05,15.52,24.6,0.04,-3.67,-4.05,0,"bK07D40X",87
"19","(2016 YM4)",2121,2121,1,1.3e-05,18.98,22.4,0.11,-3.69,-3.69,0,"bK16Y04M",0
"20","(2012 QD8)",2047,2120,16,6.1e-06,20.76,23.1,0.081,-3.73,-3.81,0,"bK12Q08D",73
"21","(2000 SB45)",2067,2118,194,0.00016,7.53,24.3,0.046,-3.73,-4.2,0,"bK00S45B",51
"22","(2008 EX5)",2056,2093,28,5.3e-05,9.92,23.8,0.059,-3.79,-4.06,0,"bK08E05X",37
"23","(2020 VW)",2074,2079,12,0.007,9.69,28.3,0.007,-3.83,-4.11,0,"bK20V00W",5
"24","(2017 WT28)",2083,2121,113,0.012,4.47,28.1,0.008,-3.84,-3.86,0,"bK17W28T",38
"25","(2020 VV)",2044,2122,424,0.0023,2.58,27.3,0.012,-3.84,-4.33,0,"bK20V00V",78
"26","(2012 HG2)",2052,2122,689,0.002,3.32,27,0.014,-3.85,-4.28,0,"bK12H02G",70
"27","(2013 VW13)",2063,2095,14,0.00044,16.35,26.2,0.019,-3.87,-4.04,0,"bK13V13W",32
"28","(2023 VD3)",2034,2098,4,0.00017,17.78,27,0.013,-3.92,-3.92,0,"bK23V03D",64
"29","(2006 DM63)",2031,2122,46,0.00014,10.37,26.7,0.015,-4.01,-4.26,0,"bK06D63M",91
"30","(2020 OB)",2114,2122,9,1.7e-05,25.44,23.7,0.062,-4.03,-4.28,0,"bK20O00B",8
"31","(2021 EU)",2056,2123,6,5.5e-05,21.22,25.4,0.028,-4.04,-4.09,0,"bK21E00U",67
"32","(2008 CC71)",2034,2082,32,4.1e-05,8.05,24.9,0.036,-4.04,-4.35,0,"bK08C71C",48
"33","(2007 KE4)",2029,2096,3,2e-05,10.06,25.2,0.031,-4.06,-4.07,0,"bK07K04E",67
"34","(2009 BE)",2037,2122,90,0.00036,11.46,26.1,0.02,-4.07,-4.38,0,"bK09B00E",85
"35","(2015 YJ)",2042,2122,119,0.0016,16.35,28.3,0.007,-4.07,-4.31,0,"bK15Y00J",80
"36","(2023 TB2)",2102,2123,10,6.5e-05,6.86,23.8,0.058,-4.07,-4.18,0,"bK23T02B",21
"37","(2013 TP4)",2026,2026,1,3.5e-05,25.3,27.5,0.011,-4.08,-4.08,0,"bK13T04P",0
"38","(2020 FA5)",2065,2110,3,6.6e-07,27.53,21.1,0.21,-4.1,-4.17,0,"bK20F05A",45
"39","(2014 GN1)",2061,2065,2,2.1e-05,21.23,24.6,0.041,-4.1,-4.1,0,"bK14G01N",4
"40","(2023 BZ)",2026,2026,1,3.8e-05,8.25,26.6,0.016,-4.1,-4.1,0,"bK23B00Z",0
"41","(2022 UY14)",2043,2043,1,2.1e-05,20.36,25.1,0.032,-4.1,-4.1,0,"bK22U14Y",0
"42","(2010 GM23)",2087,2122,61,8.1e-05,13.44,24.7,0.039,-4.11,-4.7,0,"bK10G23M",35
"43","(2020 KD3)",2083,2104,21,6e-04,7.93,26.4,0.017,-4.12,-4.13,0,"bK20K03D",21
"44","(2024 FX)",2070,2110,16,6.4e-07,32.33,21.4,0.18,-4.14,-4.61,0,"bK24F00X",40
"45","(2010 CR5)",2062,2062,3,7.9e-08,23.87,19.8,0.37,-4.15,-4.17,0,"bK10C05R",0
"46","(2017 LD)",2053,2122,319,0.0022,4.49,27.5,0.011,-4.15,-4.72,0,"bK17L00D",69
"47","(2006 RH120)",2044,2122,108,0.013,NA,29.6,0.004,-4.16,-4.39,0,"bK06RC0H",78
"48","(2021 GE2)",2030,2030,1,0.00073,15.36,29.1,0.005,-4.16,-4.16,0,"bK21G02E",0
